"rgn_id","product","year","usd_rel"
1,"corals",1994,0.732600732600733
2,"corals",1994,0.732600732600733
6,"corals",1994,0.732600732600733
1,"corals",1995,0.758241758241758
2,"corals",1995,0.758241758241758
6,"corals",1995,0.758241758241758
1,"corals",1996,0.714285714285714
2,"corals",1996,0.714285714285714
6,"corals",1996,0.714285714285714
1,"corals",1997,0.675824175824176
2,"corals",1997,0.675824175824176
6,"corals",1997,0.675824175824176
1,"corals",1998,0.43956043956044
2,"corals",1998,0.43956043956044
6,"corals",1998,0.43956043956044
1,"corals",1999,0.302197802197802
2,"corals",1999,0.302197802197802
6,"corals",1999,0.302197802197802
1,"corals",2000,0.236263736263736
2,"corals",2000,0.236263736263736
6,"corals",2000,0.236263736263736
1,"corals",2001,0.115384615384615
2,"corals",2001,0.115384615384615
6,"corals",2001,0.115384615384615
1,"corals",2002,0.197802197802198
2,"corals",2002,0.197802197802198
6,"corals",2002,0.197802197802198
1,"corals",2003,0.126373626373626
2,"corals",2003,0.126373626373626
6,"corals",2003,0.126373626373626
1,"corals",2004,0.120879120879121
2,"corals",2004,0.120879120879121
6,"corals",2004,0.120879120879121
1,"corals",2005,1
2,"corals",2005,1
6,"corals",2005,1
1,"corals",2006,1
2,"corals",2006,1
6,"corals",2006,1
1,"corals",2007,1
2,"corals",2007,1
6,"corals",2007,1
1,"corals",2008,1
2,"corals",2008,1
6,"corals",2008,1
1,"corals",2009,0.0549450549450549
2,"corals",2009,0.0549450549450549
6,"corals",2009,0.0549450549450549
1,"corals",2010,0
2,"corals",2010,0
6,"corals",2010,0
1,"corals",2011,0
2,"corals",2011,0
6,"corals",2011,0
1,"fish_oil",1976,0.271272654993585
2,"fish_oil",1976,0.271272654993585
6,"fish_oil",1976,0.271272654993585
1,"fish_oil",1977,0.249701848539058
2,"fish_oil",1977,0.249701848539058
6,"fish_oil",1977,0.249701848539058
1,"fish_oil",1978,0.218395945140131
2,"fish_oil",1978,0.218395945140131
6,"fish_oil",1978,0.218395945140131
1,"fish_oil",1979,0.155038759689922
2,"fish_oil",1979,0.155038759689922
6,"fish_oil",1979,0.155038759689922
1,"fish_oil",1980,0.0462473572938689
2,"fish_oil",1980,0.0462473572938689
6,"fish_oil",1980,0.0462473572938689
1,"fish_oil",1981,0
2,"fish_oil",1981,0
6,"fish_oil",1981,0
1,"fish_oil",1982,0
2,"fish_oil",1982,0
6,"fish_oil",1982,0
1,"fish_oil",1983,0.046857212554887
2,"fish_oil",1983,0.046857212554887
6,"fish_oil",1983,0.046857212554887
1,"fish_oil",1984,0.109435138504906
2,"fish_oil",1984,0.109435138504906
6,"fish_oil",1984,0.109435138504906
1,"fish_oil",1985,0.109435138504906
2,"fish_oil",1985,0.109435138504906
6,"fish_oil",1985,0.109435138504906
1,"fish_oil",1986,0.109435138504906
2,"fish_oil",1986,0.109435138504906
6,"fish_oil",1986,0.109435138504906
1,"fish_oil",1987,0.062577925950019
2,"fish_oil",1987,0.062577925950019
6,"fish_oil",1987,0.062577925950019
1,"fish_oil",1988,0
2,"fish_oil",1988,0
6,"fish_oil",1988,0
1,"fish_oil",1989,0
2,"fish_oil",1989,0
6,"fish_oil",1989,0
1,"fish_oil",1990,0
2,"fish_oil",1990,0
6,"fish_oil",1990,0
1,"fish_oil",1991,0
2,"fish_oil",1991,0
6,"fish_oil",1991,0
1,"fish_oil",1992,0.000474331869680707
2,"fish_oil",1992,0.000474331869680707
6,"fish_oil",1992,0.000474331869680707
1,"fish_oil",1993,0.00216837426139752
2,"fish_oil",1993,0.00216837426139752
6,"fish_oil",1993,0.00216837426139752
1,"fish_oil",1994,0.00836856941508104
2,"fish_oil",1994,0.00836856941508104
6,"fish_oil",1994,0.00836856941508104
1,"fish_oil",1995,0.0646446576679135
2,"fish_oil",1995,0.0646446576679135
6,"fish_oil",1995,0.0646446576679135
1,"fish_oil",1996,0.0641703257982328
2,"fish_oil",1996,0.0641703257982328
6,"fish_oil",1996,0.0641703257982328
1,"fish_oil",1997,0.0680327424513471
2,"fish_oil",1997,0.0680327424513471
6,"fish_oil",1997,0.0680327424513471
1,"fish_oil",1998,0.0655255597116062
2,"fish_oil",1998,0.0655255597116062
6,"fish_oil",1998,0.0655255597116062
1,"fish_oil",1999,0.0667791510814767
2,"fish_oil",1999,0.0667791510814767
6,"fish_oil",1999,0.0667791510814767
1,"fish_oil",2000,0.0752493630400607
2,"fish_oil",2000,0.0752493630400607
6,"fish_oil",2000,0.0752493630400607
1,"fish_oil",2001,0.161408359082778
2,"fish_oil",2001,0.161408359082778
6,"fish_oil",2001,0.161408359082778
1,"fish_oil",2002,0.354766357673334
2,"fish_oil",2002,0.354766357673334
6,"fish_oil",2002,0.354766357673334
1,"fish_oil",2003,0.485546430313872
2,"fish_oil",2003,0.485546430313872
6,"fish_oil",2003,0.485546430313872
1,"fish_oil",2004,0.573772158074484
2,"fish_oil",2004,0.573772158074484
6,"fish_oil",2004,0.573772158074484
1,"fish_oil",2005,0.661388030574077
2,"fish_oil",2005,0.661388030574077
6,"fish_oil",2005,0.661388030574077
1,"fish_oil",2006,0.762115791185559
2,"fish_oil",2006,0.762115791185559
6,"fish_oil",2006,0.762115791185559
1,"fish_oil",2007,0.859048896839595
2,"fish_oil",2007,0.859048896839595
6,"fish_oil",2007,0.859048896839595
1,"fish_oil",2008,1
2,"fish_oil",2008,1
6,"fish_oil",2008,1
1,"fish_oil",2009,1
2,"fish_oil",2009,1
6,"fish_oil",2009,1
1,"fish_oil",2010,1
2,"fish_oil",2010,1
6,"fish_oil",2010,1
1,"fish_oil",2011,1
2,"fish_oil",2011,1
6,"fish_oil",2011,1
1,"ornamentals",1976,0.0450831220061989
2,"ornamentals",1976,0.0450831220061989
6,"ornamentals",1976,0.0450831220061989
1,"ornamentals",1977,0.0394477317554241
2,"ornamentals",1977,0.0394477317554241
6,"ornamentals",1977,0.0394477317554241
1,"ornamentals",1978,0.0450831220061989
2,"ornamentals",1978,0.0450831220061989
6,"ornamentals",1978,0.0450831220061989
1,"ornamentals",1979,0.0366300366300366
2,"ornamentals",1979,0.0366300366300366
6,"ornamentals",1979,0.0366300366300366
1,"ornamentals",1980,0.0281769512538743
2,"ornamentals",1980,0.0281769512538743
6,"ornamentals",1980,0.0281769512538743
1,"ornamentals",1981,0.0225415610030995
2,"ornamentals",1981,0.0225415610030995
6,"ornamentals",1981,0.0225415610030995
1,"ornamentals",1982,0.0140884756269372
2,"ornamentals",1982,0.0140884756269372
6,"ornamentals",1982,0.0140884756269372
1,"ornamentals",1983,0.0563539025077487
2,"ornamentals",1983,0.0563539025077487
6,"ornamentals",1983,0.0563539025077487
1,"ornamentals",1984,0.0507185122569738
2,"ornamentals",1984,0.0507185122569738
6,"ornamentals",1984,0.0507185122569738
1,"ornamentals",1985,0.0507185122569738
2,"ornamentals",1985,0.0507185122569738
6,"ornamentals",1985,0.0507185122569738
1,"ornamentals",1986,0.0929839391377853
2,"ornamentals",1986,0.0929839391377853
6,"ornamentals",1986,0.0929839391377853
1,"ornamentals",1987,0.107072414764722
2,"ornamentals",1987,0.107072414764722
6,"ornamentals",1987,0.107072414764722
1,"ornamentals",1988,0.188785573400958
2,"ornamentals",1988,0.188785573400958
6,"ornamentals",1988,0.188785573400958
1,"ornamentals",1989,0.247957171034094
2,"ornamentals",1989,0.247957171034094
6,"ornamentals",1989,0.247957171034094
1,"ornamentals",1990,0.253592561284869
2,"ornamentals",1990,0.253592561284869
6,"ornamentals",1990,0.253592561284869
1,"ornamentals",1991,0.250774866159482
2,"ornamentals",1991,0.250774866159482
6,"ornamentals",1991,0.250774866159482
1,"ornamentals",1992,0.278951817413356
2,"ornamentals",1992,0.278951817413356
6,"ornamentals",1992,0.278951817413356
1,"ornamentals",1993,0.312764158918005
2,"ornamentals",1993,0.312764158918005
6,"ornamentals",1993,0.312764158918005
1,"ornamentals",1994,0.360664976049591
2,"ornamentals",1994,0.360664976049591
6,"ornamentals",1994,0.360664976049591
1,"ornamentals",1995,0.549450549450549
2,"ornamentals",1995,0.549450549450549
6,"ornamentals",1995,0.549450549450549
1,"ornamentals",1996,0.563539025077487
2,"ornamentals",1996,0.563539025077487
6,"ornamentals",1996,0.563539025077487
1,"ornamentals",1997,0.571992110453649
2,"ornamentals",1997,0.571992110453649
6,"ornamentals",1997,0.571992110453649
1,"ornamentals",1998,0.557903634826712
2,"ornamentals",1998,0.557903634826712
6,"ornamentals",1998,0.557903634826712
1,"ornamentals",1999,0.42828965905889
2,"ornamentals",1999,0.42828965905889
6,"ornamentals",1999,0.42828965905889
1,"ornamentals",2000,0.41701887855734
2,"ornamentals",2000,0.41701887855734
6,"ornamentals",2000,0.41701887855734
1,"ornamentals",2001,0.394477317554241
2,"ornamentals",2001,0.394477317554241
6,"ornamentals",2001,0.394477317554241
1,"ornamentals",2002,0.369118061425754
2,"ornamentals",2002,0.369118061425754
6,"ornamentals",2002,0.369118061425754
1,"ornamentals",2003,0.366300366300366
2,"ornamentals",2003,0.366300366300366
6,"ornamentals",2003,0.366300366300366
1,"ornamentals",2004,0.495914342068188
2,"ornamentals",2004,0.495914342068188
6,"ornamentals",2004,0.495914342068188
1,"ornamentals",2005,0.535362073823612
2,"ornamentals",2005,0.535362073823612
6,"ornamentals",2005,0.535362073823612
1,"ornamentals",2006,0.574809805579036
2,"ornamentals",2006,0.574809805579036
6,"ornamentals",2006,0.574809805579036
1,"ornamentals",2007,0.664976049591434
2,"ornamentals",2007,0.664976049591434
6,"ornamentals",2007,0.664976049591434
1,"ornamentals",2008,0.828402366863905
