"rgn_id","product","year","tonnes_rel"
1,"corals",1994,0.910295378380485
2,"corals",1994,0.910295378380485
6,"corals",1994,0.910295378380485
1,"corals",1995,0.874444704231938
2,"corals",1995,0.874444704231938
6,"corals",1995,0.874444704231938
1,"corals",1996,0.692073883563245
2,"corals",1996,0.692073883563245
6,"corals",1996,0.692073883563245
1,"corals",1997,0.593874210895488
2,"corals",1997,0.593874210895488
6,"corals",1997,0.593874210895488
1,"corals",1998,0.27589431844751
2,"corals",1998,0.27589431844751
6,"corals",1998,0.27589431844751
1,"corals",1999,0.107552022445639
2,"corals",1999,0.107552022445639
6,"corals",1999,0.107552022445639
1,"corals",2000,0.0841711480009352
2,"corals",2000,0.0841711480009352
6,"corals",2000,0.0841711480009352
1,"corals",2001,0.0420855740004676
2,"corals",2001,0.0420855740004676
6,"corals",2001,0.0420855740004676
1,"corals",2002,0.0654664484451719
2,"corals",2002,0.0654664484451719
6,"corals",2002,0.0654664484451719
1,"corals",2003,0.0420855740004676
2,"corals",2003,0.0420855740004676
6,"corals",2003,0.0420855740004676
1,"corals",2004,0.0374093991115268
2,"corals",2004,0.0374093991115268
6,"corals",2004,0.0374093991115268
1,"corals",2005,1
2,"corals",2005,1
6,"corals",2005,1
1,"corals",2006,1
2,"corals",2006,1
6,"corals",2006,1
1,"corals",2007,1
2,"corals",2007,1
6,"corals",2007,1
1,"corals",2008,1
2,"corals",2008,1
6,"corals",2008,1
1,"corals",2009,0.0187046995557634
2,"corals",2009,0.0187046995557634
6,"corals",2009,0.0187046995557634
1,"corals",2010,0
2,"corals",2010,0
6,"corals",2010,0
1,"corals",2011,0
2,"corals",2011,0
6,"corals",2011,0
1,"fish_oil",1976,0.838463917607531
2,"fish_oil",1976,0.838463917607531
6,"fish_oil",1976,0.838463917607531
1,"fish_oil",1977,0.747805237822077
2,"fish_oil",1977,0.747805237822077
6,"fish_oil",1977,0.747805237822077
1,"fish_oil",1978,0.595024412681377
2,"fish_oil",1978,0.595024412681377
6,"fish_oil",1978,0.595024412681377
1,"fish_oil",1979,0.416350548657501
2,"fish_oil",1979,0.416350548657501
6,"fish_oil",1979,0.416350548657501
1,"fish_oil",1980,0.118957299616429
2,"fish_oil",1980,0.118957299616429
6,"fish_oil",1980,0.118957299616429
1,"fish_oil",1981,0
2,"fish_oil",1981,0
6,"fish_oil",1981,0
1,"fish_oil",1982,0
