"rgn_id","product","year","tonnes"
1,"corals",1994,48.6666666666667
2,"corals",1994,48.6666666666667
6,"corals",1994,48.6666666666667
1,"corals",1995,46.75
2,"corals",1995,46.75
6,"corals",1995,46.75
1,"corals",1996,37
2,"corals",1996,37
6,"corals",1996,37
1,"corals",1997,31.75
2,"corals",1997,31.75
6,"corals",1997,31.75
1,"corals",1998,14.75
2,"corals",1998,14.75
6,"corals",1998,14.75
1,"corals",1999,5.75
2,"corals",1999,5.75
6,"corals",1999,5.75
1,"corals",2000,4.5
2,"corals",2000,4.5
6,"corals",2000,4.5
1,"corals",2001,2.25
2,"corals",2001,2.25
6,"corals",2001,2.25
1,"corals",2002,3.5
2,"corals",2002,3.5
6,"corals",2002,3.5
1,"corals",2003,2.25
2,"corals",2003,2.25
6,"corals",2003,2.25
1,"corals",2004,2
2,"corals",2004,2
6,"corals",2004,2
1,"corals",2005,82.25
2,"corals",2005,82.25
6,"corals",2005,82.25
1,"corals",2006,81.5
2,"corals",2006,81.5
6,"corals",2006,81.5
1,"corals",2007,81.5
2,"corals",2007,81.5
6,"corals",2007,81.5
1,"corals",2008,81.5
2,"corals",2008,81.5
6,"corals",2008,81.5
1,"corals",2009,1
2,"corals",2009,1
6,"corals",2009,1
1,"corals",2010,0
2,"corals",2010,0
6,"corals",2010,0
1,"corals",2011,0
2,"corals",2011,0
6,"corals",2011,0
1,"fish_oil",1976,5286.33333333333
2,"fish_oil",1976,5286.33333333333
6,"fish_oil",1976,5286.33333333333
1,"fish_oil",1977,4714.75
2,"fish_oil",1977,4714.75
6,"fish_oil",1977,4714.75
1,"fish_oil",1978,3751.5
2,"fish_oil",1978,3751.5
6,"fish_oil",1978,3751.5
1,"fish_oil",1979,2625
2,"fish_oil",1979,2625
6,"fish_oil",1979,2625
1,"fish_oil",1980,750
2,"fish_oil",1980,750
6,"fish_oil",1980,750
1,"fish_oil",1981,0
2,"fish_oil",1981,0
6,"fish_oil",1981,0
1,"fish_oil",1982,0
2,"fish_oil",1982,0
6,"fish_oil",1982,0
1,"fish_oil",1983,1364.5
2,"fish_oil",1983,1364.5
6,"fish_oil",1983,1364.5
1,"fish_oil",1984,3169
2,"fish_oil",1984,3169
6,"fish_oil",1984,3169
1,"fish_oil",1985,3169
2,"fish_oil",1985,3169
6,"fish_oil",1985,3169
1,"fish_oil",1986,3169
2,"fish_oil",1986,3169
6,"fish_oil",1986,3169
1,"fish_oil",1987,1804.5
2,"fish_oil",1987,1804.5
6,"fish_oil",1987,1804.5
1,"fish_oil",1988,0
2,"fish_oil",1988,0
6,"fish_oil",1988,0
1,"fish_oil",1989,0
2,"fish_oil",1989,0
6,"fish_oil",1989,0
1,"fish_oil",1990,0
2,"fish_oil",1990,0
6,"fish_oil",1990,0
1,"fish_oil",1991,0
2,"fish_oil",1991,0
6,"fish_oil",1991,0
1,"fish_oil",1992,7.5
2,"fish_oil",1992,7.5
6,"fish_oil",1992,7.5
1,"fish_oil",1993,12.5
2,"fish_oil",1993,12.5
6,"fish_oil",1993,12.5
1,"fish_oil",1994,93.25
2,"fish_oil",1994,93.25
6,"fish_oil",1994,93.25
1,"fish_oil",1995,947.5
2,"fish_oil",1995,947.5
6,"fish_oil",1995,947.5
1,"fish_oil",1996,940
2,"fish_oil",1996,940
6,"fish_oil",1996,940
1,"fish_oil",1997,1019.5
2,"fish_oil",1997,1019.5
6,"fish_oil",1997,1019.5
1,"fish_oil",1998,1039.75
2,"fish_oil",1998,1039.75
6,"fish_oil",1998,1039.75
1,"fish_oil",1999,1281.75
2,"fish_oil",1999,1281.75
6,"fish_oil",1999,1281.75
1,"fish_oil",2000,1426.5
2,"fish_oil",2000,1426.5
6,"fish_oil",2000,1426.5
1,"fish_oil",2001,2785.25
2,"fish_oil",2001,2785.25
6,"fish_oil",2001,2785.25
1,"fish_oil",2002,5323.75
2,"fish_oil",2002,5323.75
6,"fish_oil",2002,5323.75
1,"fish_oil",2003,6594.5
2,"fish_oil",2003,6594.5
6,"fish_oil",2003,6594.5
1,"fish_oil",2004,7456
2,"fish_oil",2004,7456
6,"fish_oil",2004,7456
1,"fish_oil",2005,8207.75
2,"fish_oil",2005,8207.75
6,"fish_oil",2005,8207.75
1,"fish_oil",2006,7129.5
2,"fish_oil",2006,7129.5
6,"fish_oil",2006,7129.5
1,"fish_oil",2007,7460.5
2,"fish_oil",2007,7460.5
6,"fish_oil",2007,7460.5
1,"fish_oil",2008,8597
2,"fish_oil",2008,8597
6,"fish_oil",2008,8597
1,"fish_oil",2009,8836
2,"fish_oil",2009,8836
6,"fish_oil",2009,8836
1,"fish_oil",2010,9699.66666666667
2,"fish_oil",2010,9699.66666666667
6,"fish_oil",2010,9699.66666666667
1,"fish_oil",2011,9153.5
2,"fish_oil",2011,9153.5
6,"fish_oil",2011,9153.5
1,"ornamentals",1976,1.33333333333333
2,"ornamentals",1976,1.33333333333333
6,"ornamentals",1976,1.33333333333333
1,"ornamentals",1977,1.25
2,"ornamentals",1977,1.25
6,"ornamentals",1977,1.25
1,"ornamentals",1978,1.25
2,"ornamentals",1978,1.25
6,"ornamentals",1978,1.25
1,"ornamentals",1979,1
2,"ornamentals",1979,1
6,"ornamentals",1979,1
1,"ornamentals",1980,1
2,"ornamentals",1980,1
6,"ornamentals",1980,1
1,"ornamentals",1981,0.75
2,"ornamentals",1981,0.75
6,"ornamentals",1981,0.75
1,"ornamentals",1982,0.75
2,"ornamentals",1982,0.75
6,"ornamentals",1982,0.75
1,"ornamentals",1983,3.75
2,"ornamentals",1983,3.75
6,"ornamentals",1983,3.75
1,"ornamentals",1984,3.5
2,"ornamentals",1984,3.5
6,"ornamentals",1984,3.5
1,"ornamentals",1985,3.5
2,"ornamentals",1985,3.5
6,"ornamentals",1985,3.5
1,"ornamentals",1986,6.25
2,"ornamentals",1986,6.25
6,"ornamentals",1986,6.25
1,"ornamentals",1987,8.5
2,"ornamentals",1987,8.5
6,"ornamentals",1987,8.5
1,"ornamentals",1988,17.75
2,"ornamentals",1988,17.75
6,"ornamentals",1988,17.75
1,"ornamentals",1989,25.25
2,"ornamentals",1989,25.25
6,"ornamentals",1989,25.25
1,"ornamentals",1990,27
2,"ornamentals",1990,27
6,"ornamentals",1990,27
1,"ornamentals",1991,27.25
2,"ornamentals",1991,27.25
6,"ornamentals",1991,27.25
1,"ornamentals",1992,25
2,"ornamentals",1992,25
6,"ornamentals",1992,25
1,"ornamentals",1993,25.5
2,"ornamentals",1993,25.5
6,"ornamentals",1993,25.5
1,"ornamentals",1994,31.5
2,"ornamentals",1994,31.5
6,"ornamentals",1994,31.5
1,"ornamentals",1995,41.75
2,"ornamentals",1995,41.75
6,"ornamentals",1995,41.75
1,"ornamentals",1996,49
2,"ornamentals",1996,49
6,"ornamentals",1996,49
1,"ornamentals",1997,50.5
2,"ornamentals",1997,50.5
6,"ornamentals",1997,50.5
1,"ornamentals",1998,49
2,"ornamentals",1998,49
6,"ornamentals",1998,49
1,"ornamentals",1999,46.25
2,"ornamentals",1999,46.25
6,"ornamentals",1999,46.25
1,"ornamentals",2000,46.5
2,"ornamentals",2000,46.5
6,"ornamentals",2000,46.5
1,"ornamentals",2001,50.75
2,"ornamentals",2001,50.75
6,"ornamentals",2001,50.75
1,"ornamentals",2002,43.25
2,"ornamentals",2002,43.25
6,"ornamentals",2002,43.25
1,"ornamentals",2003,32.75
2,"ornamentals",2003,32.75
6,"ornamentals",2003,32.75
1,"ornamentals",2004,23.75
2,"ornamentals",2004,23.75
6,"ornamentals",2004,23.75
1,"ornamentals",2005,12.5
2,"ornamentals",2005,12.5
6,"ornamentals",2005,12.5
1,"ornamentals",2006,12.25
2,"ornamentals",2006,12.25
6,"ornamentals",2006,12.25
1,"ornamentals",2007,12
2,"ornamentals",2007,12
6,"ornamentals",2007,12
1,"ornamentals",2008,11.5
2,"ornamentals",2008,11.5
6,"ornamentals",2008,11.5
1,"ornamentals",2009,13.75
2,"ornamentals",2009,13.75
6,"ornamentals",2009,13.75
1,"ornamentals",2010,16.3333333333333
2,"ornamentals",2010,16.3333333333333
6,"ornamentals",2010,16.3333333333333
1,"ornamentals",2011,19.5
2,"ornamentals",2011,19.5
6,"ornamentals",2011,19.5
1,"seaweeds",1997,3.66666666666667
2,"seaweeds",1997,3.66666666666667
6,"seaweeds",1997,3.66666666666667
1,"seaweeds",1998,5
2,"seaweeds",1998,5
6,"seaweeds",1998,5
1,"seaweeds",1999,5.75
2,"seaweeds",1999,5.75
6,"seaweeds",1999,5.75
1,"seaweeds",2000,7
2,"seaweeds",2000,7
6,"seaweeds",2000,7
1,"seaweeds",2001,6.75
2,"seaweeds",2001,6.75
6,"seaweeds",2001,6.75
1,"seaweeds",2002,6
2,"seaweeds",2002,6
6,"seaweeds",2002,6
1,"seaweeds",2003,6.25
2,"seaweeds",2003,6.25
6,"seaweeds",2003,6.25
1,"seaweeds",2004,8.5
2,"seaweeds",2004,8.5
6,"seaweeds",2004,8.5
1,"seaweeds",2005,12.5
2,"seaweeds",2005,12.5
6,"seaweeds",2005,12.5
1,"seaweeds",2006,17
2,"seaweeds",2006,17
6,"seaweeds",2006,17
1,"seaweeds",2007,19
2,"seaweeds",2007,19
6,"seaweeds",2007,19
1,"seaweeds",2008,22.25
2,"seaweeds",2008,22.25
6,"seaweeds",2008,22.25
1,"seaweeds",2009,23
2,"seaweeds",2009,23
6,"seaweeds",2009,23
1,"seaweeds",2010,22.6666666666667
2,"seaweeds",2010,22.6666666666667
6,"seaweeds",2010,22.6666666666667
1,"seaweeds",2011,26.5
2,"seaweeds",2011,26.5
6,"seaweeds",2011,26.5
